orbit,day,a_km,e,i_deg,raan_deg,argp_deg,periapsis_km,apoapsis_km
Elliptical lunar frozen orbit (12 h relay),0.4930555555555556,6142.1073567178955,0.6001836396376655,56.992703941861464,353.4871381199792,89.72199254617844,2455.7150083176675,9828.499705118122
Elliptical lunar frozen orbit (12 h relay),0.5,6142.0441459142085,0.6001981274440664,56.9927019512278,353.3953878358103,89.71852837413782,2455.6007508577104,9828.487540970707
Elliptical lunar frozen orbit (12 h relay),0.5069444444444444,6142.01479364682,0.6002078176055103,56.99270243248606,353.3036844733611,89.71506687122049,2455.529498651303,9828.500088642337
Elliptical lunar frozen orbit (12 h relay),0.5138888888888888,6142.019440064061,0.6002126961226348,56.99270319945756,353.21202938867924,89.71157540091741,2455.5013923055753,9828.537487822547
Elliptical lunar frozen orbit (12 h relay),0.5208333333333334,6142.058049185553,0.6002127892703192,56.992701985441215,353.12042357104616,89.70802161277416,2455.516255623677,9828.59984274743
Elliptical lunar frozen orbit (12 h relay),0.5277777777777778,6142.130407679434,0.6002081635505393,56.992696460117095,353.0288676255166,89.70437389936761,2455.5735953982357,9828.687219960631
Elliptical lunar frozen orbit (12 h relay),0.5347222222222222,6142.2361243957885,0.6001989250075287,56.99268424909312,352.93736175600105,89.70060183745885,2455.672605391027,9828.799643400549
Elliptical lunar frozen orbit (12 h relay),0.5416666666666666,6142.374624209608,0.6001852192164958,56.99266295213852,352.8459057484539,89.69667667232312,2455.812163868523,9828.937084550691
Elliptical lunar frozen orbit (12 h relay),0.5486111111111112,6142.545144472553,0.6001672302432208,56.99263016575888,352.7544989549919,89.69257176946506,2455.9908384705163,9829.09945047459
Elliptical lunar frozen orbit (12 h relay),0.5555555555555556,6142.746726931403,0.600145179929275,56.99258350564619,352.66314027805674,89.68826310263059,2456.2068872371915,9829.286566625615
Elliptical lunar frozen orbit (12 h relay),0.5625,6142.978207990233,0.6001193268751863,56.992520631343716,352.571828155391,89.68372975565266,2456.458260802196,9829.49815517827
Elliptical lunar frozen orbit (12 h relay),0.5694444444444443,6143.238206947101,0.600089965136875,56.99243927324178,352.4805605457076,89.67895443875761,2456.742605512697,9829.733808381505
Elliptical lunar frozen orbit (12 h relay),0.576388888888889,6143.525111597703,0.600057422638976,56.992337261951754,352.3893349152136,89.67392402683608,2457.0572672145577,9829.992955980846
Elliptical lunar frozen orbit (12 h relay),0.5833333333333334,6143.83706022873,0.6000220593241042,56.9922125601254,352.2981482252406,89.66863013540853,2457.3992951985365,9830.274825258923
Elliptical lunar frozen orbit (12 h relay),0.5902777777777778,6144.171920771434,0.5999842648162346,56.992063297828174,352.2069969213954,89.66306971614733,2457.765447982834,9830.578393560036
Elliptical lunar frozen orbit (12 h relay),0.5972222222222222,6144.527265711385,0.5999444556000246,56.99188781135318,352.11587692445477,89.65724569097797,2458.1522003646605,9830.90233105811
Elliptical lunar frozen orbit (12 h relay),0.6041666666666666,6144.900341990073,0.5999030716248238,56.99168468616419,352.024783623737,89.65116762937411,2458.555752001798,9831.244931978346
Elliptical lunar frozen orbit (12 h relay),0.6111111111111112,6145.288036042139,0.599860572076566,56.991452804899694,351.9337118736442,89.64485245421139,2458.972039166625,9831.604032917654
Elliptical lunar frozen orbit (12 h relay),0.6180555555555556,6145.686831541926,0.5998174302693663,56.99119140070964,351.842655994277,89.63832520298365,2459.3967490061646,9831.976914077688
Elliptical lunar frozen orbit (12 h relay),0.625,6146.092760527301,0.599774127284227,56.990900117424665,351.7516097777717,89.63161980972242,2459.8253388741336,9832.360182180468
Elliptical lunar frozen orbit (12 h relay),0.6319444444444444,6146.501344503884,0.5997311441800814,56.99057907697028,351.6605665018168,89.62477993736995,2460.2530604601607,9832.749628547606
Elliptical lunar frozen orbit (12 h relay),0.6388888888888888,6146.907526676182,0.5996889522637908,56.99022895588897,351.56951895340194,89.61785980079952,2460.674992341332,9833.140061011032
Elliptical lunar frozen orbit (12 h relay),0.6458333333333334,6147.305590721894,0.5996480010663792,56.98985107164139,351.4784594657619,89.6109250040095,2461.086081301333,9833.525100142455
Elliptical lunar frozen orbit (12 h relay),0.6527777777777777,6147.689068074944,0.5996087032949435,56.98944748078288,351.3873799740417,89.6040532881787,2461.4811977060267,9833.89693844386
Elliptical lunar frozen orbit (12 h relay),0.6597222222222221,6148.05063111103,0.5995714161003473,56.98902109003413,351.29627209626653,89.59733514109307,2461.8552079591564,9834.246054262903
Elliptical lunar frozen orbit (12 h relay),0.6666666666666667,6148.381973718022,0.5995364177190052,56.98857578154179,351.20512724951345,89.59087411939232,2462.2030704270123,9834.560877009033
Elliptical lunar frozen orbit (12 h relay),0.6736111111111112,6148.6736880667395,0.5995038785593135,56.988116552892215,351.11393681606006,89.58478660565724,2462.5199640751302,9834.82741205835
Elliptical lunar frozen orbit (12 h relay),0.6805555555555556,6148.915148940497,0.5994738259278787,56.987649669918255,351.0226923797958,89.57920065179894,2462.801459299245,9835.028838581748
Elliptical lunar frozen orbit (12 h relay),0.6875,6149.094445435347,0.5994461022751986,56.98718282666025,350.9313860639063,89.5742531802877,2463.0437475970543,9835.14514327364
Elliptical lunar frozen orbit (12 h relay),0.6944444444444444,6149.198435435657,0.5994203190171925,56.98672529722246,350.84001101472586,89.57008445625678,2463.2439475667948,9835.15292330452
Elliptical lunar frozen orbit (12 h relay),0.7013888888888888,6149.21309396376,0.5993958134811532,56.98628804558666,350.74856209773463,89.56682795387846,2463.4005092383927,9835.025678689128
Elliptical lunar frozen orbit (12 h relay),0.7083333333333334,6149.124508845238,0.5993716297488312,56.985883719801095,350.65703689862926,89.56459274781133,2463.513730450187,9834.735287240288
Elliptical lunar frozen orbit (12 h relay),0.7152777777777778,6148.9212688259295,0.5993465746182871,56.985526376217706,350.56543714825926,89.56343434200572,2463.586368757577,9834.256168894282
Elliptical lunar frozen orbit (12 h relay),0.7222222222222222,6148.599716044245,0.5993194637587499,56.985230618189426,350.47377067697164,89.56331018301643,2463.624231357406,9833.575200731084
Elliptical lunar frozen orbit (12 h relay),0.7291666666666666,6148.174559647768,0.5992897798837508,56.98500954426994,350.3820538199232,89.56402399710862,2463.6363811095807,9832.712738185955
Elliptical lunar frozen orbit (12 h relay),0.7361111111111112,6147.697008111071,0.5992590098964071,56.98487054183811,350.2903134712952,89.5651951399915,2463.634185887326,9831.759830334817
Elliptical lunar frozen orbit (12 h relay),0.7430555555555555,6147.273434318875,0.5992323334236721,56.984808220883295,350.19858610879714,89.56635837568497,2463.628430078625,9830.918438559123
Elliptical lunar frozen orbit (12 h relay),0.7499999999999999,6147.04969995055,0.5992181655237105,56.984796840615964,350.1069088662502,89.5672891712737,2463.6258553631064,9830.473544537996
Elliptical lunar frozen orbit (12 h relay),0.7569444444444445,6147.12360122086,0.5992224316774285,56.98479093459009,350.0153017958713,89.56824975059321,2463.629249075585,9830.617953366136
Elliptical lunar frozen orbit (12 h relay),0.7638888888888888,6147.463215223302,0.5992429227337914,56.98474055068404,349.9237550651607,89.5696149038019,2463.6393907344195,9831.287039712184
Elliptical lunar frozen orbit (12 h relay),0.7708333333333334,6147.948604008726,0.5992723505735491,56.984609389038184,349.83223544014294,89.57135424089796,2463.652992879047,9832.244215138404
Elliptical lunar frozen orbit (12 h relay),0.7777777777777778,6148.463233858403,0.5993045592572502,56.98438070754883,349.7407029971649,89.57309054826084,2463.661185381485,9833.265282335322
Elliptical lunar frozen orbit (12 h relay),0.7847222222222222,6148.932121027581,0.5993365805404794,56.98405300296798,349.64912270050354,89.57440562523321,2463.6521696353934,9834.212072419768
Elliptical lunar frozen orbit (12 h relay),0.7916666666666666,6149.31725689024,0.5993677870288103,56.98363375112691,349.55746825528826,89.57500201289466,2463.6145808898627,9835.019932890618
Elliptical lunar frozen orbit (12 h relay),0.7986111111111112,6149.603953801686,0.599398703033881,56.98313483127267,349.465721898547,89.57472360729335,2463.5393197209287,9835.668587882443
Elliptical lunar frozen orbit (12 h relay),0.8055555555555556,6149.7904101756085,0.5994302428480079,56.98256981167475,349.3738729303437,89.57352475085348,2463.420051139693,9836.160769211523
Elliptical lunar frozen orbit (12 h relay),0.8125,6149.881444744792,0.5994633288808578,56.9819524715488,349.2819161507981,89.57143364777245,2463.2530416554596,9836.509847834124
Elliptical lunar frozen orbit (12 h relay),0.8194444444444444,6149.885023595559,0.5994987296829883,56.981296035004064,349.18985054250703,89.56852333084043,2463.0367642535866,9836.73328293753
Elliptical lunar frozen orbit (12 h relay),0.8263888888888888,6149.810392202727,0.5995370080764478,56.98061279602603,349.09767823973687,89.56489132726801,2462.7714694240576,9836.849314981395
Elliptical lunar frozen orbit (12 h relay),0.8333333333333334,6149.667087851763,0.5995785199690156,56.97991395489643,349.0054037416428,89.560646162165,2462.458797015437,9836.87537868809
Elliptical lunar frozen orbit (12 h relay),0.8402777777777778,6149.464429307581,0.5996234343168719,56.97920956799507,348.91303331435194,89.55589865843255,2462.1014489967265,9836.827409618436
Elliptical lunar frozen orbit (12 h relay),0.8472222222222222,6149.211265590316,0.5996717601864459,56.97850855756651,348.82057453435874,89.55075646406084,2461.7029221954485,9836.719608985184
Elliptical lunar frozen orbit (12 h relay),0.8541666666666666,6148.915865308176,0.5997233745145378,56.97781875217739,348.7280359366274,89.54532071132994,2461.2672929595774,9836.564437656776
Elliptical lunar frozen orbit (12 h relay),0.8611111111111112,6148.585881960375,0.5997780478655774,56.97714694175051,348.63542674035943,89.53968407729214,2460.799044544332,9836.37271937642
Elliptical lunar frozen orbit (12 h relay),0.8680555555555556,6148.2283598757695,0.5998354672203341,56.976498938379386,348.54275663261177,89.533929767636,2460.302929052379,9836.15379069916
Elliptical lunar frozen orbit (12 h relay),0.875,6147.8497603744545,0.5998952556682133,56.97587963805491,348.4500355954847,89.52813109806146,2459.7838565648567,9835.915664184051
Elliptical lunar frozen orbit (12 h relay),0.8819444444444444,6147.455997427124,0.5999569891903064,56.97529308078891,348.3572737663898,89.52235146792285,2459.246806030855,9835.665188823394
Elliptical lunar frozen orbit (12 h relay),0.8888888888888888,6147.052477004649,0.6000202108490467,56.97474250801239,348.2644813234961,89.51664459227936,2458.6967536521647,9835.408200357133
Elliptical lunar frozen orbit (12 h relay),0.8958333333333334,6146.644135873408,0.6000844427748935,56.97423041653965,348.1716683908455,89.51105488590213,2458.1386146622476,9835.14965708457
Elliptical lunar frozen orbit (12 h relay),0.9027777777777778,6146.23547916242,0.6001491962212906,56.9737586092593,348.0788449586065,89.50561795469011,2457.577196556315,9834.893761768526
Elliptical lunar frozen orbit (12 h relay),0.9097222222222222,6145.830614733893,0.6002139800630456,56.97332824239922,347.9860208153635,89.50036113481941,2457.0171606711488,9834.644068796635
Elliptical lunar frozen orbit (12 h relay),0.9166666666666666,6145.433285096712,0.6002783078984567,56.97293986991245,347.8932054898431,89.4953040701671,2456.4629914160037,9834.403578777421
Elliptical lunar frozen orbit (12 h relay),0.9236111111111112,6145.046895736633,0.6003417040777246,56.972593484942564,347.80040820023055,89.49045929167566,2455.9189707125715,9834.174820760694
Elliptical lunar frozen orbit (12 h relay),0.9305555555555556,6144.6745410625535,0.6004037087175939,56.97228855909205,347.70763780951535,89.48583280538035,2455.389157746017,9833.95992437909
Elliptical lunar frozen orbit (12 h relay),0.9375,6144.319026920576,0.6004638819901441,56.972024079271534,347.6149027858123,89.48142466108372,2454.877371829942,9833.760682011209
Elliptical lunar frozen orbit (12 h relay),0.9444444444444444,6143.982891112141,0.6005218076768984,56.97179858304512,347.52221116655943,89.47722951782967,2454.3871790055414,9833.578603218739
Elliptical lunar frozen orbit (12 h relay),0.9513888888888888,6143.668421132244,0.6005770961929355,56.97161019221172,347.4295705260704,89.47323718747853,2453.921880796404,9833.414961468085
Elliptical lunar frozen orbit (12 h relay),0.9583333333333334,6143.377669795811,0.6006293871351845,56.971456645183316,347.33698794566004,89.46943316309059,2453.484505046375,9833.270834545247
Elliptical lunar frozen orbit (12 h relay),0.9652777777777778,6143.112469120871,0.6006783513686725,56.97133532850093,347.2444699860604,89.46579913439167,2453.077798897011,9833.14713934473
Elliptical lunar frozen orbit (12 h relay),0.9722222222222222,6142.874441760795,0.6007236928657564,56.971243307191074,347.1520226615554,89.46231348006248,2452.7042222955783,9833.044661226011
