arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.7916666666666666,-1.366843406260944,10.0,nonlinear,0.0,73,0.0,9.593284176293082,10.000000000005528,40968.49056126823,2.577584910592306,752.3424955329539,0.0004233644993505365,1225.6609340080017,True,1947.7487419092445
12 h,12.0,0.7916666666666666,-1.366843406260944,10.0,linear,0.0,73,0.0,9.593284176293082,10.000000000005528,40968.49056126823,2.577584910592306,948.228554538121,0.00039775536948322214,9482.285349830308,True,4.4081449588149233e-10
12 h,12.0,0.8333333333333334,-1.0934747250087549,10.0,nonlinear,0.0,73,0.0,9.387649321436701,9.999999999994573,32325.367080068692,4.933695370866805,436.9322579389713,0.00045047299060346313,493.0143283008649,True,6507.82270930323
12 h,12.0,0.8333333333333334,-1.0934747250087549,10.0,linear,0.0,73,0.0,9.387649321436701,9.999999999994573,32325.367080068692,4.933695370866805,938.5320330013611,0.0003965201570094183,9385.320195063354,True,3.2031539062042493e-10
12 h,12.0,0.875,-0.8201060437565663,10.0,nonlinear,0.0,73,0.0,8.820287067444923,10.000000000002634,21357.29632732418,13.874820385463238,106.75793221286867,0.00045299306184397656,107.48538690081865,False,41469.893725178656
12 h,12.0,0.875,-0.8201060437565663,10.0,linear,0.0,73,0.0,8.820287067444923,10.000000000002634,21357.29632732418,13.874820385463238,914.5425270082712,0.00039426170122379374,9145.425211922644,True,1.3198082618339596e-10
12 h,12.0,0.9166666666666666,-0.5467373625043778,10.0,nonlinear,0.0,73,0.0,6.375458298029225,9.999999999997476,5540.765067732931,89.39548067800149,8.58477989219089,0.00042647642488209935,8.585224263609577,False,1440437.4622004193
12 h,12.0,0.9166666666666666,-0.5467373625043778,10.0,linear,0.0,73,0.0,6.375458298029225,9.999999999997476,5540.765067732931,89.39548067800149,839.3770982559458,0.00040059012643748314,8393.770938198913,True,1.0826603613297314e-10
12 h,12.0,0.9583333333333334,-0.2733686812521885,10.0,nonlinear,0.0,73,0.0,6.933864315181138,30.113072061523148,3255.6325395509116,257.7887358969126,0.4926343688566107,0.0004072215441381623,0.4926345703582651,False,11407283.254511315
12 h,12.0,0.9583333333333334,-0.2733686812521885,10.0,linear,0.0,73,0.0,6.933864315181138,30.113072061523148,3255.6325395509116,257.7887358969126,543.8708283149946,0.00039131751923988445,5438.708277040387,True,2.268534137383504e-11
12 h,12.0,0.0,0.0,50.0,nonlinear,0.0,73,0.0,50.00000000000001,473.29219658159747,3245.236168691912,10413.80440224643,0.5382271622312708,0.003925734461684368,0.5384372863963717,False,1046644.1338129077
12 h,12.0,0.0,0.0,50.0,linear,0.0,73,0.0,50.00000000000001,473.29219658159747,3245.236168691912,10413.80440224643,18.98189384578719,0.0032059332750243212,189.81893638266175,True,4.632914116681708e-18
12 h,12.0,0.0,0.0,50.0,nonlinear,0.5,73,0.0,50.00000000000001,473.29219658159747,3245.236168691912,10413.80440224643,0.10402750073694624,0.003555093397968856,0.10402896277803114,False,1724884.1602962625
12 h,12.0,0.0,0.0,50.0,linear,0.5,73,0.0,50.00000000000001,473.29219658159747,3245.236168691912,10413.80440224643,0.11654244902915586,0.003460287645196325,0.1165445415398512,False,139911.11181271117
12 h,12.0,0.041666666666666664,0.2733686812521887,50.0,nonlinear,0.0,73,0.0,46.97786540341683,50.000000000000504,19126.440806165698,162.93239975817323,41.04599734263574,0.002592435043947822,41.16236360035186,False,187090.21235493815
12 h,12.0,0.041666666666666664,0.2733686812521887,50.0,linear,0.0,73,0.0,46.97786540341683,50.000000000000504,19126.440806165698,162.93239975817323,543.8708281069722,0.0019340599127072005,5438.708280578088,True,6.717159296234684e-14
12 h,12.0,0.041666666666666664,0.2733686812521887,50.0,nonlinear,0.5,73,0.0,46.97786540341683,50.000000000000504,19126.440806165698,162.93239975817323,0.07733046840488214,0.0019148657870342715,0.07733046917313012,False,4937431886.215709
12 h,12.0,0.041666666666666664,0.2733686812521887,50.0,linear,0.5,73,0.0,46.97786540341683,50.000000000000504,19126.440806165698,162.93239975817323,0.07732796752503449,0.0019151126770965221,0.07732796829222476,False,4899426437.631459
12 h,12.0,0.08333333333333333,0.5467373625043774,50.0,nonlinear,0.0,73,0.0,46.3823671889345,50.00000000000044,30648.521816989098,48.078185330327095,246.48108693859618,0.0024787958562038936,257.7290771437336,False,27735.871282907156
12 h,12.0,0.08333333333333333,0.5467373625043774,50.0,linear,0.0,73,0.0,46.3823671889345,50.00000000000044,30648.521816989098,48.078185330327095,839.3770982701952,0.0019642948763575153,8393.770982238371,True,3.8919264253356724e-13
12 h,12.0,0.08333333333333333,0.5467373625043774,50.0,nonlinear,0.5,73,0.0,46.3823671889345,50.00000000000044,30648.521816989098,48.078185330327095,0.07886090129423495,0.0018600289465595889,0.07886090200793787,False,16757604377.496344
12 h,12.0,0.08333333333333333,0.5467373625043774,50.0,linear,0.5,73,0.0,46.3823671889345,50.00000000000044,30648.521816989098,48.078185330327095,0.07887339077765047,0.0018599993051627364,0.0788733914919068,False,16724219394.64414
12 h,12.0,0.125,0.8201060437565663,50.0,nonlinear,0.0,73,0.0,47.609749574655474,50.000000000001435,39614.14589207334,20.41205625074577,607.500113627501,0.0022791259966153886,809.5350508262342,True,5688.036774756592
12 h,12.0,0.125,0.8201060437565663,50.0,linear,0.0,73,0.0,47.609749574655474,50.000000000001435,39614.14589207334,20.41205625074577,914.5425270666219,0.001979136242205616,9145.425270259302,True,5.577258929659937e-13
12 h,12.0,0.125,0.8201060437565663,50.0,nonlinear,0.5,73,0.0,47.609749574655474,50.000000000001435,39614.14589207334,20.41205625074577,0.08057928864461293,0.0018514336610806032,0.08057928957146906,False,20169174528.311573
12 h,12.0,0.125,0.8201060437565663,50.0,linear,0.5,73,0.0,47.609749574655474,50.000000000001435,39614.14589207334,20.41205625074577,0.08058716810558537,0.0018513983875891775,0.08058716903263423,False,20151586080.955948
12 h,12.0,0.16666666666666666,1.0934747250087549,50.0,nonlinear,0.0,73,0.0,48.26432220552039,49.9999999999955,46941.00160236527,11.380354616110115,836.3168573139478,0.002093303650539512,1808.326344060348,True,1825.6680140220333
12 h,12.0,0.16666666666666666,1.0934747250087549,50.0,linear,0.0,73,0.0,48.26432220552039,49.9999999999955,46941.00160236527,11.380354616110115,938.5320331419109,0.001985016129680514,9385.320331049063,True,6.314445017127385e-13
12 h,12.0,0.16666666666666666,1.0934747250087549,50.0,nonlinear,0.5,73,0.0,48.26432220552039,49.9999999999955,46941.00160236527,11.380354616110115,0.0809566653335245,0.0018519317363936186,0.08095666639215665,False,21237921910.011524
12 h,12.0,0.16666666666666666,1.0934747250087549,50.0,linear,0.5,73,0.0,48.26432220552039,49.9999999999955,46941.00160236527,11.380354616110115,0.0809617870700715,0.0018519054138871303,0.08096178812882532,False,21227465738.956688
12 h,12.0,0.20833333333333334,1.3668434062609438,50.0,nonlinear,0.0,73,0.0,48.630074552740155,49.999999999999794,53021.71908736682,7.4575187551062,913.3569040200471,0.002023356362773551,3199.905598471506,True,790.8592371001232
12 h,12.0,0.20833333333333334,1.3668434062609438,50.0,linear,0.0,73,0.0,48.630074552740155,49.999999999999794,53021.71908736682,7.4575187551062,948.2285547393337,0.001987467590665478,9482.285547018244,True,6.576768790397741e-13
12 h,12.0,0.20833333333333334,1.3668434062609438,50.0,nonlinear,0.5,73,0.0,48.630074552740155,49.999999999999794,53021.71908736682,7.4575187551062,0.08089163160350392,0.001854370213430849,0.08089163273857383,False,21700718624.751072
12 h,12.0,0.20833333333333334,1.3668434062609438,50.0,linear,0.5,73,0.0,48.630074552740155,49.999999999999794,53021.71908736682,7.4575187551062,0.08089524620341715,0.0018543507021737305,0.08089524733854062,False,21693690955.561882
12 h,12.0,0.25,1.6402120875131325,50.0,nonlinear,0.0,73,0.0,48.84810323109665,49.99999999999727,58065.5820052536,5.445495646225233,938.604108274843,0.002001863940361673,4738.4118333231445,True,422.59320192412366
