phase,burn_m_s,lowest_perigee_altitude_km
0.1667,-194.0,362908.3
0.1667,-192.0,362924.1
0.1667,-190.0,362956.1
0.1667,-188.0,363005.4
0.1667,-186.0,363073.2
0.1667,-184.0,363160.9
0.1667,-182.0,363269.6
0.1667,-180.0,363400.7
0.1667,-178.0,363555.5
0.1667,-176.0,363735.3
0.1667,-174.0,363941.3
0.1667,-172.0,364175.0
0.1667,-170.0,364437.5
0.1667,-168.0,364730.1
0.1667,-166.0,365053.9
0.1667,-164.0,365410.1
0.1667,-162.0,365799.7
0.1667,-160.0,366223.4
0.1667,-158.0,366682.2
0.1667,-156.0,366736.3
0.1667,-154.0,366466.1
0.1667,-152.0,366213.1
0.1667,-150.0,365979.3
0.1667,-148.0,365767.1
0.1667,-146.0,365578.6
0.1667,-144.0,365416.3
0.1667,-142.0,365282.7
0.1667,-140.0,365180.3
0.1667,-138.0,365111.9
0.1667,-136.0,365080.2
0.1667,-134.0,365088.1
0.1667,-132.0,365138.5
0.1667,-130.0,365234.2
0.1667,-128.0,365378.1
0.1667,-126.0,365573.0
0.1667,-124.0,365821.6
0.1667,-122.0,366126.5
0.1667,-120.0,366490.1
0.1667,-118.0,366914.2
0.1667,-116.0,367400.8
0.1667,-114.0,367950.9
0.1667,-112.0,368490.5
0.1667,-110.0,368500.9
0.1667,-108.0,368524.2
0.1667,-106.0,368561.1
0.1667,-104.0,368612.3
0.1667,-102.0,368678.3
0.1667,-100.0,368759.9
0.1667,-98.0,368651.4
0.1667,-96.0,368446.1
0.1667,-94.0,368286.7
0.1667,-92.0,368179.2
0.1667,-90.0,368130.9
0.1667,-88.0,368149.9
0.1667,-86.0,368244.0
0.1667,-84.0,368420.7
0.1667,-82.0,368686.3
0.1667,-80.0,369046.3
0.1667,-78.0,369504.5
0.1667,-76.0,370062.8
0.1667,-74.0,370720.8
0.1667,-72.0,371475.4
0.1667,-70.0,372040.5
0.1667,-68.0,371322.2
0.1667,-66.0,373018.4
0.1667,-64.0,372428.7
0.1667,-62.0,371875.8
0.1667,-60.0,371395.3
0.1667,-58.0,371004.3
0.1667,-56.0,370720.3
0.1667,-54.0,370560.8
0.1667,-52.0,370542.9
0.1667,-50.0,370682.0
0.1667,-48.0,370991.8
0.1667,-46.0,371482.6
0.1667,-44.0,372156.5
0.1667,-42.0,371576.4
0.1667,-40.0,371311.1
0.1667,-38.0,371435.2
0.1667,-36.0,372028.0
0.1667,-34.0,372616.2
0.1667,-32.0,372726.0
0.1667,-30.0,372423.6
0.1667,-28.0,371261.4
0.1667,-26.0,368039.3
0.1667,-24.0,362250.4
0.1667,-22.0,355819.9
0.1667,-20.0,353910.0
0.1667,-18.0,367100.9
0.1667,-16.0,367018.5
0.1667,-14.0,367311.3
0.1667,-12.0,368004.0
0.1667,-10.0,369097.5
0.1667,-8.0,370566.1
0.1667,-6.0,372356.4
0.1667,-4.0,364749.3
0.1667,-2.0,371856.0
0.1667,2.0,371515.5
0.1667,4.0,356572.7
0.1667,6.0,374814.9
0.1667,8.0,373003.5
0.1667,10.0,370889.6
0.1667,12.0,368551.9
0.1667,14.0,366170.8
0.1667,16.0,364128.5
0.1667,18.0,363126.5
0.1667,20.0,364141.2
0.1667,22.0,367824.3
0.1667,24.0,374222.5
0.1667,26.0,377354.7
0.1667,28.0,377348.0
0.1667,30.0,377343.2
0.1667,32.0,377333.2
0.1667,34.0,377307.0
0.1667,36.0,377250.3
0.1667,38.0,377145.9
0.1667,40.0,376977.8
0.1667,42.0,376737.3
0.1667,44.0,376434.2
0.1667,46.0,376114.2
0.1667,48.0,375888.8
0.1667,50.0,375988.7
0.1667,52.0,376852.4
0.1667,54.0,378108.0
0.1667,56.0,378377.5
0.1667,58.0,378701.0
0.1667,60.0,379081.0
0.1667,62.0,379519.0
0.1667,64.0,380014.4
0.1667,66.0,380564.4
0.1667,68.0,381163.2
0.1667,70.0,381801.3
0.1667,72.0,382465.1
0.1667,74.0,383135.3
0.1667,76.0,383786.9
0.1667,78.0,384390.2
0.1667,80.0,384929.0
0.1667,82.0,385423.5
0.1667,84.0,385898.2
0.1667,86.0,386365.3
0.1667,88.0,386830.5
0.1667,90.0,387296.9
0.1667,92.0,387766.4
0.1667,94.0,388240.3
0.1667,96.0,388719.2
0.1667,98.0,389203.9
0.1667,100.0,389694.6
0.1667,102.0,390191.9
0.1667,104.0,390695.8
0.1667,106.0,391206.5
0.1667,108.0,391724.3
0.1667,110.0,392249.2
0.1667,112.0,392781.2
0.1667,114.0,393320.4
0.1667,116.0,393866.9
0.1667,118.0,394420.7
0.1667,120.0,394981.6
0.1667,122.0,395549.8
0.1667,124.0,396125.2
0.1667,126.0,396707.7
0.1667,128.0,397297.3
0.1667,130.0,397893.8
0.1667,132.0,398497.3
0.1667,134.0,399107.5
0.1667,136.0,399724.5
0.1667,138.0,400347.9
0.1667,140.0,400977.7
0.1667,142.0,401613.8
0.1667,144.0,402255.9
0.1667,146.0,402903.8
0.1667,148.0,403557.4
0.1667,150.0,404216.3
0.1667,152.0,404880.3
0.1667,154.0,405549.1
0.1667,156.0,406222.4
0.1667,158.0,406899.8
0.1667,160.0,407581.0
0.1667,162.0,408265.5
0.1667,164.0,408952.8
0.1667,166.0,409642.5
0.1667,168.0,410333.9
0.1667,170.0,411026.6
0.1667,172.0,411719.7
0.1667,174.0,412412.6
0.1667,176.0,413104.4
0.1667,178.0,413794.3
0.1667,180.0,414481.4
0.1667,182.0,415164.4
0.1667,184.0,415842.2
0.1667,186.0,416513.6
0.1667,188.0,417177.1
0.1667,190.0,417831.0
0.1667,192.0,418473.8
0.1667,194.0,419103.4
0.1667,196.0,419717.8
0.1667,198.0,420314.7
0.1667,200.0,420891.4
0.2500,-200.0,361604.1
0.2500,-198.0,361707.0
0.2500,-196.0,361814.7
0.2500,-194.0,361927.2
0.2500,-192.0,362044.4
0.2500,-190.0,362166.4
0.2500,-188.0,362293.5
0.2500,-186.0,362425.7
0.2500,-184.0,362563.2
0.2500,-182.0,362706.4
0.2500,-180.0,362855.6
0.2500,-178.0,363010.9
0.2500,-176.0,363172.8
0.2500,-174.0,363341.7
0.2500,-172.0,363517.9
0.2500,-170.0,363702.0
0.2500,-168.0,363894.3
0.2500,-166.0,364095.3
0.2500,-164.0,364305.5
0.2500,-162.0,364525.4
0.2500,-160.0,364755.6
0.2500,-158.0,364996.5
0.2500,-156.0,365248.7
0.2500,-154.0,365512.7
0.2500,-152.0,365789.0
0.2500,-150.0,366078.1
0.2500,-148.0,366380.5
0.2500,-146.0,366696.6
0.2500,-144.0,367027.0
0.2500,-142.0,367371.9
0.2500,-140.0,367731.9
0.2500,-138.0,368107.1
0.2500,-136.0,368497.8
0.2500,-134.0,368904.2
0.2500,-132.0,369326.3
0.2500,-130.0,369764.0
0.2500,-128.0,369829.3
0.2500,-126.0,369480.9
0.2500,-124.0,369144.8
0.2500,-122.0,368824.3
0.2500,-120.0,368523.0
0.2500,-118.0,368244.9
0.2500,-116.0,367993.9
0.2500,-114.0,367774.6
0.2500,-112.0,367591.7
0.2500,-110.0,368745.2
0.2500,-108.0,368557.5
0.2500,-106.0,368389.8
0.2500,-104.0,368244.4
0.2500,-102.0,368123.2
0.2500,-100.0,368028.6
0.2500,-98.0,367962.9
0.2500,-96.0,367928.2
0.2500,-94.0,367926.8
0.2500,-92.0,367961.0
0.2500,-90.0,368033.1
0.2500,-88.0,368145.2
0.2500,-86.0,368299.4
0.2500,-84.0,368497.6
0.2500,-82.0,368741.8
0.2500,-80.0,369033.6
0.2500,-78.0,369374.6
0.2500,-76.0,369765.9
0.2500,-74.0,370208.6
0.2500,-72.0,370703.3
0.2500,-70.0,371249.9
0.2500,-68.0,371508.1
0.2500,-66.0,371268.1
0.2500,-64.0,371140.7
0.2500,-62.0,371140.4
0.2500,-60.0,371282.9
0.2500,-58.0,371584.9
0.2500,-56.0,372065.4
0.2500,-54.0,372746.0
0.2500,-52.0,373298.4
