time_s,day,jd_utc,ra_deg,dec_deg,ra_true_deg,dec_true_deg,elevation_deg,sun_elevation_deg,lunar_separation_deg,range_km,apparent_magnitude
140460.0,1.6256944444444446,2461043.1256944444,92.2906380372444,20.81665167275874,92.29200816459516,20.81630896233921,29.956115254558597,-31.386309719281797,8.327186062335231,394775.5812976846,15.817714899576888
141060.0,1.632638888888889,2461043.132638889,92.3649769581465,20.787597212859477,92.36356145936011,20.788153282219962,28.987103319961186,-30.746243414826917,8.340910825185118,394914.7496793198,15.818318149956607
141660.0,1.6395833333333334,2461043.1395833334,92.43507227640605,20.7599272165325,92.43576710738316,20.759600011569287,27.94736396285858,-30.018730858999675,8.354360281098925,395061.538056786,15.818962705510696
142260.0,1.6465277777777778,2461043.146527778,92.50821176624544,20.730380413203115,92.50867883379547,20.730661538471967,26.840534374378723,-29.206951233109812,8.367538107836564,395215.7629619645,15.81964739241364
142860.0,1.6534722222222222,2461043.1534722224,92.58215537703454,20.701646525587552,92.58234877562714,20.701350968872944,25.670231740031856,-28.314276083345916,8.380448362964904,395377.2271501796,15.820370968122152
143460.0,1.6604166666666667,2461043.160416667,92.65660221597524,20.671836472771105,92.6568273839538,20.671682093415505,24.440018930033084,-27.34421261626226,8.393095475259932,395545.7199864136,15.821132124082485
144060.0,1.667361111111111,2461043.167361111,92.73206525098387,20.641200092101535,92.73216332501659,20.641669353825787,23.15337648996081,-26.300350889441837,8.40548423545591,395721.0178480026,15.82192948853194
144660.0,1.6743055555555555,2461043.1743055554,92.80822573272923,20.610799803819575,92.80840341398353,20.611327803633557,21.813680074523063,-25.18631566329418,8.417619785170926,395902.8845964674,15.822761629599245
145260.0,1.68125,2461043.18125,92.88559611745046,20.58004870651035,92.88559249801386,20.580673076636774,20.42418414748421,-24.00572472918607,8.429507607050805,396091.07198415976,15.823627058163677
145860.0,1.6881944444444446,2461043.1881944444,92.96316623639014,20.55053076887127,92.96377339992864,20.549721345640545,18.98800961627264,-22.76215266280175,8.441153512214047,396285.3201706276,15.824524231161437
146460.0,1.695138888888889,2461043.195138889,93.04295729261615,20.518459339169425,93.04298683940522,20.518489284739132,17.508136065410838,-21.45910106005994,8.452563627979709,396485.3582166093,15.825451554811313
147060.0,1.7020833333333334,2461043.2020833334,93.12355555193457,20.486760220604335,93.12327136503461,20.486994030050194,15.987397439947285,-20.09997460297649,8.463744384763665,396690.90460627986,15.826407387953548
210000.0,2.4305555555555554,2461043.9305555555,104.7327027032239,18.144916289873606,104.73282966731693,18.144680096131754,15.655881671481875,-12.949526529970777,9.608731540433144,400360.61633801117,15.835728431535177
210600.0,2.4375,2461043.9375,104.80906440462665,18.130060756130653,104.80890750693652,18.130704809867837,17.2971879469135,-14.53634804625977,9.620656540477432,400210.9360256153,15.834955626715907
211200.0,2.4444444444444446,2461043.9444444445,104.88426088778327,18.11613919857189,104.88379791967401,18.116467217984827,18.903216523947815,-16.081695454831237,9.632384499292035,400066.373273738,15.8342117103392
211800.0,2.451388888888889,2461043.951388889,104.95695071093893,18.101453238715887,104.95753742146688,18.101953502643664,20.471251923954156,-17.58280390513073,9.643906607311989,399927.23342561006,15.833498338712541
212400.0,2.4583333333333335,2461043.9583333335,105.0299477131095,18.088054414455474,105.03016468274525,18.08715035875846,21.998402258899397,-19.03676187694367,9.655214289300707,399793.8121022564,15.832817120686226
213000.0,2.4652777777777777,2461043.965277778,105.10106738782794,18.072133954909894,105.10172046333068,18.072045023858486,23.481595359930214,-20.44051405966034,9.666299224469505,399666.3946238849,15.832169614203348
213600.0,2.4722222222222223,2461043.972222222,105.17105985654051,18.056624437096772,105.17224753673945,18.056625307615185,24.917577390237298,-21.790867362223853,9.677153365991364,399545.2554579497,15.831557322970962
214200.0,2.4791666666666665,2461043.9791666665,105.24229039539472,18.040748137717408,105.2417906362739,18.040879617340774,26.30291525558788,-23.084501204137645,9.687768961347166,399430.6576383123,15.830981692969534
214800.0,2.486111111111111,2461043.986111111,105.3100467005324,18.024925605509345,105.31039634215678,18.024796988251534,27.63400222658816,-24.317981363317582,9.698138569654102,399322.8523003849,15.830444109551923
215400.0,2.4930555555555554,2461043.9930555555,105.3785019910947,18.008735805267154,105.37811301789961,18.00836710661659,28.90706960417427,-25.487779799566514,9.708255080993641,399222.078140722,15.829945894147325
